Symbol,Open Price ($),Close Price ($),Highest Price ($),Lowest Price ($),Date
WGMI,4.64,4.5588,4.64,4.42,2023-01-03
WGMI,4.71,5.0974,5.14,4.71,2023-01-04
WGMI,5.16,5.24,5.26,5.0,2023-01-05
WGMI,5.24,5.21,5.27,5.1,2023-01-06
WGMI,5.5,5.85,6.0999,5.5,2023-01-09
WGMI,5.9,6.28,6.32,5.82,2023-01-10
WGMI,6.28,6.16,6.37,6.14,2023-01-11
WGMI,6.51,7.47,7.5899,6.28,2023-01-12
WGMI,7.34,7.79,8.27,7.34,2023-01-13
WGMI,8.53,8.37,8.89,8.03,2023-01-17
WGMI,8.62,7.62,8.69,7.5,2023-01-18
WGMI,7.43,7.76,7.86,7.31,2023-01-19
WGMI,7.92,8.29,8.299,7.7,2023-01-20
WGMI,8.37,8.85,9.069,8.37,2023-01-23
WGMI,8.94,8.745,8.99,8.6934,2023-01-24
WGMI,8.51,8.6905,8.72,8.05,2023-01-25
WGMI,9.0,9.0,9.1484,8.804,2023-01-26
WGMI,8.91,9.18,9.35,8.855,2023-01-27
WGMI,9.14,8.57,9.489,8.54,2023-01-30
WGMI,8.76,8.88,8.96,8.7201,2023-01-31
WGMI,8.95,9.48,9.54,8.69,2023-02-01
WGMI,9.81,10.08,10.5684,9.5901,2023-02-02
WGMI,9.83,9.37,10.07,9.285,2023-02-03
WGMI,9.22,9.34,9.46,9.04,2023-02-06
WGMI,9.44,9.26,9.44,8.8901,2023-02-07
WGMI,9.0,8.88,9.4599,8.84,2023-02-08
WGMI,8.99,8.05,8.99,8.0,2023-02-09
WGMI,7.85,7.82,8.0599,7.76,2023-02-10
WGMI,7.8,7.63,7.8,7.62,2023-02-13
WGMI,7.61,8.16,8.2601,7.53,2023-02-14
WGMI,8.41,9.09,9.12,8.305,2023-02-15
WGMI,9.1,8.91,9.65,8.8599,2023-02-16
WGMI,8.88,9.06,9.06,8.65,2023-02-17
WGMI,8.96,8.49,9.0201,8.485,2023-02-21
WGMI,8.37,8.2,8.51,8.02,2023-02-22
WGMI,8.38,8.25,8.38,8.07,2023-02-23
WGMI,8.02,7.75,8.02,7.685,2023-02-24
WGMI,7.88,7.75,8.07,7.7308,2023-02-27
WGMI,7.75,7.78,8.0,7.71,2023-02-28
WGMI,7.77,7.57,7.86,7.47,2023-03-01
WGMI,7.42,7.56,7.61,7.33,2023-03-02
WGMI,7.32,7.54,7.58,7.32,2023-03-03
WGMI,7.5,7.4386,7.75,7.41,2023-03-06
WGMI,7.42,7.27,7.53,7.22,2023-03-07
WGMI,7.37,7.22,7.37,7.08,2023-03-08
WGMI,7.2,6.54,7.2,6.52,2023-03-09
WGMI,6.5,6.41,6.69,6.225,2023-03-10
WGMI,6.72,7.42,7.58,6.59,2023-03-13
WGMI,7.81,7.74,8.22,7.59,2023-03-14
WGMI,7.74,7.63,7.79,7.35,2023-03-15
WGMI,7.54,7.91,7.95,7.54,2023-03-16
WGMI,8.23,8.49,8.615,8.12,2023-03-17
WGMI,8.61,8.49,8.8899,8.37,2023-03-20
WGMI,8.7,9.32,9.37,8.56,2023-03-21
WGMI,9.4,8.43,9.6,8.41,2023-03-22
WGMI,8.55,9.16,9.35,8.55,2023-03-23
WGMI,9.07,8.67,9.07,8.54,2023-03-24
WGMI,8.73,8.18,8.73,8.06,2023-03-27
WGMI,8.14,8.21,8.21,7.95,2023-03-28
WGMI,8.56,8.83,8.88,8.521,2023-03-29
WGMI,9.0,8.86,9.01,8.7401,2023-03-30
WGMI,8.89,9.31,9.31,8.86,2023-03-31
WGMI,9.07,9.23,9.27,8.94,2023-04-03
WGMI,9.21,9.08,9.23,8.87,2023-04-04
WGMI,9.01,8.71,9.01,8.59,2023-04-05
WGMI,8.49,8.81,8.86,8.36,2023-04-06
WGMI,8.83,9.65,9.65,8.6,2023-04-10
WGMI,9.96,10.61,10.8199,9.885,2023-04-11
WGMI,10.67,10.3,10.83,10.16,2023-04-12
WGMI,10.63,11.584,11.7784,10.595,2023-04-13
WGMI,12.16,11.75,12.21,11.11,2023-04-14
WGMI,11.02,11.35,11.3916,10.743,2023-04-17
WGMI,11.64,11.93,12.29,11.64,2023-04-18
WGMI,11.5,11.1,11.5,11.02,2023-04-19
WGMI,10.82,10.15,11.0,10.14,2023-04-20
WGMI,10.37,10.0135,10.38,9.97,2023-04-21
WGMI,10.07,9.81,10.19,9.58,2023-04-24
WGMI,9.7,9.71,9.94,9.47,2023-04-25
WGMI,10.63,10.19,11.0,10.15,2023-04-26
WGMI,10.44,10.56,10.615,10.14,2023-04-27
WGMI,10.56,10.5,10.63,10.25,2023-04-28
WGMI,10.39,9.65,10.39,9.64,2023-05-01
WGMI,9.68,10.23,10.28,9.558,2023-05-02
WGMI,9.88,10.05,10.3,9.88,2023-05-03
WGMI,10.05,10.21,10.43,10.05,2023-05-04
WGMI,10.38,10.6891,10.7,10.15,2023-05-05
WGMI,10.48,10.0856,10.48,9.96,2023-05-08
WGMI,10.2,10.302,10.33,10.03,2023-05-09
WGMI,10.63,10.77,11.14,10.54,2023-05-10
WGMI,10.44,9.8,10.49,9.7501,2023-05-11
WGMI,9.7,9.69,9.819,9.51,2023-05-12
WGMI,10.11,10.21,10.21,9.84,2023-05-15
WGMI,10.08,10.15,10.25,10.01,2023-05-16
WGMI,10.01,10.62,10.69,9.94,2023-05-17
WGMI,10.582,10.46,10.92,10.285,2023-05-18
WGMI,10.55,10.45,10.63,10.34,2023-05-19
WGMI,10.45,10.83,10.83,10.37,2023-05-22
WGMI,10.99,10.58,11.25,10.51,2023-05-23
WGMI,10.42,10.45,10.56,10.07,2023-05-24
WGMI,10.6,10.27,10.82,10.12,2023-05-25
WGMI,10.4,10.42,10.75,10.34,2023-05-26
WGMI,10.83,11.08,11.32,10.83,2023-05-30
WGMI,10.8,11.04,11.04,10.56,2023-05-31
WGMI,11.06,11.1604,11.35,10.87,2023-06-01
WGMI,11.42,11.02,11.42,10.85,2023-06-02
WGMI,10.79,10.41,10.855,10.35,2023-06-05
WGMI,10.27,10.8,10.82,9.84,2023-06-06
WGMI,10.8,10.33,10.9,10.3,2023-06-07
WGMI,10.42,10.46,10.6299,10.33,2023-06-08
WGMI,10.55,10.17,10.55,10.13,2023-06-09
WGMI,10.1,10.34,10.36,10.07,2023-06-12
WGMI,10.62,10.55,10.73,10.36,2023-06-13
WGMI,10.54,10.63,10.8,10.47,2023-06-14
WGMI,10.22,10.4,10.48,10.075,2023-06-15
WGMI,10.55,10.98,11.1,10.33,2023-06-16
WGMI,11.2,12.05,12.09,10.91,2023-06-20
WGMI,12.56,12.55,12.98,12.36,2023-06-21
WGMI,12.6,12.52,12.77,12.0,2023-06-22
WGMI,12.37,12.98,13.5,12.28,2023-06-23
WGMI,12.97,12.15,13.25,12.0301,2023-06-26
WGMI,12.54,12.91,12.9999,12.3301,2023-06-27
WGMI,12.56,12.75,13.07,12.4,2023-06-28
WGMI,13.19,13.09,13.52,12.79,2023-06-29
WGMI,13.62,13.01,13.62,12.56,2023-06-30
WGMI,13.18,14.2965,14.4,13.18,2023-07-03
WGMI,13.98,14.57,14.81,13.76,2023-07-05
WGMI,14.57,14.44,14.6895,13.681,2023-07-06
WGMI,14.49,15.413,15.8892,14.46,2023-07-07
WGMI,15.46,16.625,16.66,15.03,2023-07-10
WGMI,16.72,16.57,16.8125,16.25,2023-07-11
WGMI,17.3,16.7,17.34,16.49,2023-07-12
WGMI,17.02,19.07,19.29,16.9899,2023-07-13
WGMI,18.94,17.8,19.38,17.411,2023-07-14
WGMI,17.89,17.32,18.59,17.072,2023-07-17
WGMI,17.01,16.76,17.13,16.5701,2023-07-18
WGMI,17.07,17.47,17.718,16.93,2023-07-19
WGMI,17.54,16.41,17.85,16.34,2023-07-20
WGMI,16.62,16.2753,16.65,15.62,2023-07-21
WGMI,15.6,15.66,16.01,15.38,2023-07-24
WGMI,15.68,15.79,16.5,15.68,2023-07-25
WGMI,15.74,16.15,16.2895,15.72,2023-07-26
WGMI,16.57,15.42,16.57,15.37,2023-07-27
WGMI,15.64,15.85,16.02,15.6,2023-07-28
WGMI,15.98,16.04,16.34,15.87,2023-07-31
WGMI,15.74,15.39,15.74,14.86,2023-08-01
WGMI,15.39,15.1,15.85,14.82,2023-08-02
WGMI,14.94,14.76,15.16,14.67,2023-08-03
WGMI,14.96,14.23,14.96,14.21,2023-08-04
WGMI,14.29,13.72,14.29,13.15,2023-08-07
WGMI,14.15,14.65,14.72,13.87,2023-08-08
WGMI,14.76,14.11,14.9437,14.08,2023-08-09
WGMI,14.17,13.78,14.72,13.78,2023-08-10
WGMI,13.59,14.26,14.46,13.59,2023-08-11
WGMI,14.24,14.03,14.2588,13.47,2023-08-14
WGMI,13.98,13.26,14.08,13.23,2023-08-15
WGMI,13.11,12.82,13.21,12.7,2023-08-16
WGMI,12.54,11.87,12.59,11.86,2023-08-17
WGMI,11.23,11.5,11.745,11.2,2023-08-18
WGMI,11.58,11.21,11.75,11.15,2023-08-21
WGMI,11.33,10.97,11.52,10.9301,2023-08-22
WGMI,11.11,11.81,11.89,10.95,2023-08-23
WGMI,12.0,10.88,12.0,10.85,2023-08-24
WGMI,10.91,10.76,11.17,10.51,2023-08-25
WGMI,11.02,10.835,11.11,10.78,2023-08-28
WGMI,10.87,12.56,12.8,10.8,2023-08-29
WGMI,12.29,12.425,12.53,12.07,2023-08-30
WGMI,12.53,11.73,12.57,11.65,2023-08-31
WGMI,11.86,11.14,11.86,11.1,2023-09-01
WGMI,11.22,11.05,11.22,10.9,2023-09-05
WGMI,11.02,11.0,11.37,10.86,2023-09-06
WGMI,10.85,11.02,11.06,10.49,2023-09-07
WGMI,11.01,10.74,11.01,10.57,2023-09-08
WGMI,10.75,10.07,10.75,10.05,2023-09-11
WGMI,10.52,10.37,11.07,10.3,2023-09-12
WGMI,10.33,10.22,10.5,10.11,2023-09-13
WGMI,10.56,10.72,10.95,10.37,2023-09-14
WGMI,10.66,10.45,10.66,10.34,2023-09-15
WGMI,10.9,10.57,11.06,10.53,2023-09-18
WGMI,10.69,10.3624,10.78,10.2,2023-09-19
WGMI,10.31,10.04,10.49,10.02,2023-09-20
WGMI,9.83,9.69,9.83,9.5913,2023-09-21
WGMI,9.82,9.35,9.85,9.33,2023-09-22
WGMI,9.24,9.25,9.3999,9.1,2023-09-25
WGMI,9.11,8.97,9.41,8.94,2023-09-26
WGMI,9.29,9.06,9.38,8.89,2023-09-27
WGMI,9.11,9.46,9.73,8.99,2023-09-28
WGMI,9.64,9.31,9.7,9.3,2023-09-29
WGMI,10.02,9.55,10.37,9.49,2023-10-02
WGMI,9.45,8.68,9.45,8.6,2023-10-03
WGMI,8.88,8.95,8.988,8.5001,2023-10-04
WGMI,8.98,8.82,9.1,8.695,2023-10-05
WGMI,8.62,9.33,9.37,8.55,2023-10-06
WGMI,9.01,9.14,9.33,8.97,2023-10-09
WGMI,9.04,9.26,9.59,9.04,2023-10-10
WGMI,9.37,8.94,9.39,8.7905,2023-10-11
WGMI,8.94,8.71,8.94,8.66,2023-10-12
WGMI,8.722,8.52,8.8,8.51,2023-10-13
WGMI,9.08,9.1,9.4785,8.69,2023-10-16
WGMI,8.87,9.38,9.46,8.81,2023-10-17
WGMI,9.3,8.74,9.41,8.7,2023-10-18
WGMI,8.94,8.65,8.95,8.6201,2023-10-19
WGMI,8.92,8.71,9.208,8.63,2023-10-20
WGMI,9.1,9.33,9.54,8.76,2023-10-23
WGMI,10.28,10.2,10.7,9.8,2023-10-24
WGMI,10.28,10.19,10.655,10.0,2023-10-25
WGMI,9.97,9.62,10.0698,9.42,2023-10-26
WGMI,9.67,9.46,9.87,9.3801,2023-10-27
WGMI,9.77,9.51,10.07,9.2601,2023-10-30
WGMI,9.42,9.51,9.51,9.0883,2023-10-31
WGMI,9.62,9.69,9.748,9.4,2023-11-01
WGMI,10.15,10.59,10.61,10.0,2023-11-02
WGMI,10.52,10.58,10.84,10.42,2023-11-03
WGMI,10.86,10.31,10.86,10.1489,2023-11-06
WGMI,10.31,10.34,10.37,9.86,2023-11-07
WGMI,10.34,9.76,10.34,9.66,2023-11-08
WGMI,10.5,9.55,10.6884,9.44,2023-11-09
WGMI,9.63,9.57,9.78,9.1832,2023-11-10
WGMI,9.4,9.19,9.4,9.03,2023-11-13
WGMI,9.27,9.22,9.44,8.91,2023-11-14
WGMI,9.36,9.8,9.98,9.26,2023-11-15
WGMI,9.61,9.2,9.61,9.0726,2023-11-16
WGMI,9.23,9.31,9.39,9.09,2023-11-17
WGMI,9.51,9.8,9.9166,9.38,2023-11-20
WGMI,9.6,9.53,9.72,9.34,2023-11-21
WGMI,9.46,9.89,9.91,9.245,2023-11-22
WGMI,9.97,10.37,10.4195,9.72,2023-11-24
WGMI,10.0,10.29,10.54,9.96,2023-11-27
WGMI,10.46,11.19,11.2,10.46,2023-11-28
WGMI,11.39,11.47,11.66,11.1501,2023-11-29
WGMI,11.5,11.18,11.57,11.12,2023-11-30
WGMI,11.32,12.6,12.6,11.16,2023-12-01
WGMI,13.96,13.43,14.03,12.8701,2023-12-04
WGMI,13.39,13.66,14.38,13.3252,2023-12-05
WGMI,14.09,13.44,14.09,13.2725,2023-12-06
WGMI,13.27,13.52,13.8,12.83,2023-12-07
WGMI,13.71,14.75,14.7699,13.62,2023-12-08
WGMI,13.94,12.75,13.94,12.6,2023-12-11
WGMI,13.08,13.0,13.26,12.77,2023-12-12
WGMI,13.07,14.36,14.36,12.7132,2023-12-13
WGMI,14.52,14.83,15.08,14.34,2023-12-14
WGMI,14.43,15.0,15.03,14.17,2023-12-15
WGMI,14.43,15.65,15.764,14.41,2023-12-18
WGMI,16.29,15.97,16.7899,15.33,2023-12-19
WGMI,16.8,16.03,17.35,15.97,2023-12-20
WGMI,16.94,17.78,17.8295,16.47,2023-12-21
WGMI,18.15,18.99,19.55,17.4298,2023-12-22
WGMI,18.92,19.81,19.87,18.55,2023-12-26
WGMI,20.68,22.27,22.48,20.68,2023-12-27
WGMI,21.27,20.99,21.69,20.42,2023-12-28
WGMI,21.59,18.0,21.6,17.45,2023-12-29
WGMI,20.26,17.49,20.26,17.2501,2024-01-02
WGMI,15.9,17.05,17.4946,15.55,2024-01-03
WGMI,17.5,17.91,18.3486,17.0256,2024-01-04
WGMI,17.76,16.85,17.76,16.37,2024-01-05
WGMI,17.21,17.75,18.1,15.81,2024-01-08
WGMI,17.65,17.29,17.97,17.168,2024-01-09
WGMI,16.79,17.29,18.26,16.335,2024-01-10
WGMI,18.79,15.745,19.1,15.25,2024-01-11
WGMI,15.38,13.98,15.4792,13.94,2024-01-12
WGMI,13.57,13.21,13.82,12.8,2024-01-16
WGMI,12.84,12.81,13.1299,12.61,2024-01-17
WGMI,12.95,11.88,13.27,11.86,2024-01-18
WGMI,11.96,12.08,12.13,11.1959,2024-01-19
WGMI,11.84,12.26,12.7,11.65,2024-01-22
WGMI,11.96,11.91,12.25,11.7,2024-01-23
WGMI,12.42,11.72,12.6596,11.66,2024-01-24
WGMI,11.94,12.22,12.2699,11.7,2024-01-25
WGMI,12.84,13.31,13.47,12.66,2024-01-26
WGMI,13.52,14.03,14.49,13.149,2024-01-29
WGMI,14.1,13.69,14.24,13.45,2024-01-30
WGMI,13.2,12.98,13.9756,12.95,2024-01-31
WGMI,13.0,13.18,13.42,12.56,2024-02-01
WGMI,13.1,12.92,13.39,12.7326,2024-02-02
WGMI,13.02,12.21,13.02,12.1728,2024-02-05
WGMI,12.23,12.76,12.8298,12.06,2024-02-06
WGMI,12.9,13.09,13.1664,12.3233,2024-02-07
WGMI,13.87,15.1,15.12,13.65,2024-02-08
WGMI,16.49,16.975,17.3183,15.96,2024-02-09
WGMI,17.14,18.8,19.15,17.14,2024-02-12
WGMI,17.1,17.92,18.35,16.582,2024-02-13
WGMI,20.11,20.2,20.5,19.29,2024-02-14
WGMI,20.9,19.27,21.0141,18.8,2024-02-15
WGMI,19.51,19.03,19.8488,18.34,2024-02-16
WGMI,19.19,18.12,19.49,17.07,2024-02-20
WGMI,17.14,17.03,17.73,16.93,2024-02-21
WGMI,17.67,17.89,18.29,17.1715,2024-02-22
WGMI,17.53,17.09,17.56,16.65,2024-02-23
WGMI,17.19,19.9,20.22,17.19,2024-02-26
WGMI,21.49,20.13,21.69,19.57,2024-02-27
WGMI,20.82,18.6,21.0937,18.3,2024-02-28
WGMI,19.37,17.04,19.37,16.65,2024-02-29
WGMI,17.3,17.98,18.08,16.35,2024-03-01
WGMI,18.62,17.0,18.8,16.55,2024-03-04
WGMI,16.5,15.58,17.2852,15.395,2024-03-05
WGMI,16.41,16.45,16.95,15.4363,2024-03-06
WGMI,16.3,16.58,16.73,15.83,2024-03-07
WGMI,16.7,17.57,18.5,16.7,2024-03-08
WGMI,18.3,15.79,18.3,15.7289,2024-03-11
WGMI,15.91,15.65,15.981,15.05,2024-03-12
WGMI,15.65,15.9,16.38,15.5077,2024-03-13
WGMI,15.6,14.81,15.6,14.43,2024-03-14
WGMI,14.37,15.78,15.9799,14.25,2024-03-15
WGMI,15.76,15.76,16.23,15.09,2024-03-18
WGMI,15.16,15.42,15.55,14.32,2024-03-19
WGMI,15.45,17.86,17.86,15.2501,2024-03-20
WGMI,18.07,17.83,18.35,17.435,2024-03-21
WGMI,17.35,17.1,17.35,16.64,2024-03-22
WGMI,17.5,18.53,18.9599,17.5,2024-03-25
WGMI,18.54,18.22,18.81,17.92,2024-03-26
WGMI,18.75,18.46,18.9,17.73,2024-03-27
WGMI,18.57,18.3,19.67,18.12,2024-03-28
WGMI,17.94,17.8,18.44,17.29,2024-04-01
WGMI,16.52,16.38,16.79,16.07,2024-04-02
WGMI,16.36,16.13,16.7225,16.07,2024-04-03
WGMI,16.68,15.98,17.15,15.92,2024-04-04
WGMI,15.83,15.71,16.19,15.49,2024-04-05
WGMI,16.63,15.64,16.92,15.35,2024-04-08
WGMI,15.6,15.17,15.6374,15.02,2024-04-09
WGMI,14.8,14.96,15.3756,14.65,2024-04-10
WGMI,14.98,15.03,15.04,14.41,2024-04-11
WGMI,14.77,14.05,14.91,13.91,2024-04-12
WGMI,14.13,13.35,14.28,13.32,2024-04-15
WGMI,13.25,13.14,13.3499,12.7601,2024-04-16
WGMI,13.32,13.28,13.66,12.93,2024-04-17
WGMI,13.62,13.99,14.45,13.0866,2024-04-18
WGMI,14.33,14.59,14.82,13.98,2024-04-19
WGMI,15.0,16.2,16.21,14.6246,2024-04-22
WGMI,16.15,16.92,17.11,15.882,2024-04-23
WGMI,16.88,16.38,17.3541,16.1701,2024-04-24
WGMI,15.59,16.35,16.38,15.3521,2024-04-25
WGMI,16.23,16.22,16.53,15.91,2024-04-26
WGMI,15.59,15.2,15.96,15.01,2024-04-29
WGMI,14.58,14.03,14.99,14.03,2024-04-30
WGMI,13.9,13.86,14.8,13.46,2024-05-01
WGMI,14.5,14.36,14.51,13.87,2024-05-02
WGMI,15.0,14.77,15.3713,14.6288,2024-05-03
WGMI,15.25,15.75,16.1,15.21,2024-05-06
WGMI,15.79,14.95,15.79,14.77,2024-05-07
WGMI,14.51,14.95,14.99,14.23,2024-05-08
WGMI,15.0,15.14,15.4699,14.74,2024-05-09
WGMI,15.53,14.2,15.566,14.2,2024-05-10
WGMI,14.86,14.31,14.99,14.26,2024-05-13
WGMI,14.09,14.37,14.64,14.01,2024-05-14
WGMI,14.98,15.55,15.619,14.43,2024-05-15
WGMI,15.4,15.42,15.9,15.33,2024-05-16
WGMI,15.62,15.32,16.15,15.27,2024-05-17
WGMI,15.45,16.71,16.83,15.1389,2024-05-20
WGMI,16.9,16.9,17.12,16.55,2024-05-21
WGMI,16.84,17.12,18.1,16.84,2024-05-22
WGMI,17.44,16.17,17.44,16.11,2024-05-23
WGMI,16.3,17.11,17.3778,16.1713,2024-05-24
WGMI,17.21,17.25,17.85,16.845,2024-05-28
WGMI,16.92,16.91,17.2296,16.74,2024-05-29
WGMI,17.04,16.62,17.42,16.5,2024-05-30
WGMI,16.89,16.45,17.05,16.0,2024-05-31
WGMI,17.12,16.59,17.68,16.45,2024-06-03
WGMI,17.13,18.03,18.4599,17.03,2024-06-04
WGMI,18.43,18.62,18.62,17.62,2024-06-05
WGMI,18.62,19.47,19.7652,18.49,2024-06-06
WGMI,19.43,18.92,20.459,18.7101,2024-06-07
WGMI,18.65,19.05,19.37,18.55,2024-06-10
WGMI,18.3,19.95,19.9675,17.79,2024-06-11
WGMI,20.62,21.4,21.88,20.62,2024-06-12
WGMI,21.67,22.43,22.99,21.2639,2024-06-13
WGMI,22.45,22.17,22.75,21.38,2024-06-14
WGMI,22.0,23.31,23.61,21.37,2024-06-17
WGMI,22.73,22.84,23.0266,22.14,2024-06-18
WGMI,23.26,23.31,24.17,22.8,2024-06-20
WGMI,22.34,21.63,22.4085,21.17,2024-06-21
WGMI,20.74,20.86,21.626,20.46,2024-06-24
WGMI,21.66,22.13,22.78,21.19,2024-06-25
WGMI,21.89,21.73,23.09,21.59,2024-06-26
WGMI,22.105,21.57,22.62,21.27,2024-06-27
WGMI,21.81,21.17,21.815,20.95,2024-06-28
WGMI,21.63,23.09,23.24,21.61,2024-07-01
WGMI,22.82,23.26,23.468,22.7,2024-07-02
WGMI,22.61,23.26,23.56,22.61,2024-07-03
WGMI,21.72,23.74,23.77,21.63,2024-07-05
WGMI,24.32,23.68,24.71,23.3744,2024-07-08
WGMI,24.14,22.07,24.14,21.95,2024-07-09
WGMI,22.7,21.98,22.7,21.8311,2024-07-10
NVDA,14.851,14.315,14.996,14.096,2023-01-03
NVDA,14.567,14.749,14.853,14.241,2023-01-04
NVDA,14.491,14.265,14.564,14.148,2023-01-05
NVDA,14.474,14.859,15.01,14.034,2023-01-06
NVDA,15.284,15.628,16.056,15.141,2023-01-09
NVDA,15.507,15.909,15.962,15.472,2023-01-10
NVDA,15.8395,16.001,16.028,15.563,2023-01-11
NVDA,16.1,16.511,16.637,15.492,2023-01-12
NVDA,16.278,16.899,16.922,16.165,2023-01-13
NVDA,16.899,17.702,17.728,16.899,2023-01-17
NVDA,17.667,17.377,17.873,17.282,2023-01-18
NVDA,17.036,16.765,17.197,16.731,2023-01-19
NVDA,17.011,17.839,17.856,16.825,2023-01-20
NVDA,18.064,19.193,19.245,17.8175,2023-01-23
NVDA,18.827,19.265,19.495,18.82,2023-01-24
NVDA,18.9125,19.323,19.37,18.58,2023-01-25
NVDA,19.701,19.802,20.166,19.278,2023-01-26
NVDA,19.462,20.365,20.628,19.405,2023-01-27
NVDA,19.95,19.162,20.14,19.15,2023-01-30
NVDA,19.1695,19.537,19.687,18.95,2023-01-31
NVDA,19.691,20.943,21.192,19.611,2023-02-01
NVDA,21.0,21.709,21.949,20.7,2023-02-02
NVDA,21.0,21.1,21.745,20.789,2023-02-03
NVDA,20.806,21.089,21.57,20.786,2023-02-06
NVDA,21.382,22.173,22.259,21.15,2023-02-07
NVDA,22.387,22.205,22.878,22.008,2023-02-08
NVDA,22.606,22.337,23.02,22.12,2023-02-09
NVDA,21.69,21.265,22.0776,20.811,2023-02-10
NVDA,21.538,21.788,22.048,20.962,2023-02-13
NVDA,21.578,22.971,23.0488,21.366,2023-02-14
NVDA,22.549,22.764,22.855,22.106,2023-02-15
NVDA,22.133,22.002,22.55,21.9268,2023-02-16
NVDA,21.631,21.388,21.74,20.975,2023-02-17
NVDA,21.0,20.655,21.4938,20.618,2023-02-21
NVDA,20.707,20.754,21.104,20.421,2023-02-22
NVDA,23.44,23.664,23.888,23.025,2023-02-23
NVDA,23.225,23.286,23.474,22.947,2023-02-24
NVDA,23.67,23.501,23.8799,23.454,2023-02-27
NVDA,23.372,23.216,23.825,23.206,2023-02-28
NVDA,23.192,22.698,23.2556,22.508,2023-03-01
NVDA,22.488,23.314,23.3804,22.432,2023-03-02
NVDA,23.32,23.89,23.9,23.13,2023-03-03
NVDA,23.891,23.554,24.248,23.487,2023-03-06
NVDA,23.6,23.288,24.125,23.241,2023-03-07
NVDA,23.487,24.181,24.2,23.4235,2023-03-08
NVDA,24.175,23.436,24.454,23.3828,2023-03-09
NVDA,23.409,22.965,23.627,22.726,2023-03-10
NVDA,22.752,22.966,23.298,22.297,2023-03-13
NVDA,23.496,24.063,24.219,23.46,2023-03-14
NVDA,23.761,24.228,24.286,23.36,2023-03-15
NVDA,24.027,25.541,25.588,23.894,2023-03-16
NVDA,25.982,25.725,26.399,25.668,2023-03-17
NVDA,25.615,25.9,26.024,25.1298,2023-03-20
